Q4669005	Abraham Lincoln	statue at the Lincoln Memorial	Abraham Lincoln (1920 statue)
Q4669007	Abraham Lincoln	statue by Randolph Rogers	Abraham Lincoln (Rogers)
Q4669011	Abraham Lincoln	Rudolph Schwarz plaque	Abraham Lincoln (relief by Schwarz)
Q14714403	Abraham Lincoln (Cecere)	artwork by Gaetano Cecere	Abraham Lincoln (Cecere)
Q4668995	Abraham Lincoln: The Head of State		Abraham Lincoln: The Head of State
Q4668996	Abraham Lincoln: The Hoosier Youth	sculpture by Paul Manship	Abraham Lincoln: The Hoosier Youth
Q330935	Abrahamsberg metro station	metro station in western Stockholm	Abrahamsberg metro station
Q4669352	Abram Gaar House and Farm	historic home in Richmond, Indiana	Abram Gaar House and Farm
Q331200	Abrau-Dyurso		Abrau-Dyurso
Q331384	Abreus, Cuba		Abreus, Cuba
Q4655625	A Bridge Across and Beyond	artwork by Richard Hunt	A Bridge Across and Beyond
Q3787	Abuja	capital city of Nigeria	Abuja
Q481602	Abzelilovsky District		Abzelilovsky District
Q337531	Académie des Beaux-Arts	French art school	Académie des Beaux-Arts
Q337579	Académie royale de peinture et de sculpture	academy that sought to professionalize the artists working for the French court	Académie royale de peinture et de sculpture
Q414219	Academy of Fine Arts Vienna	art school in Vienna, Austria	Academy of Fine Arts Vienna
Q2822400	Academy of Natural Sciences of Drexel University		Academy of Natural Sciences of Drexel University
Q207353	Acadia	colony of New France in northeastern North America	Acadia
Q81398	Acapulco	largest city in Guerrero, Mexico	Acapulco
Q2697667	Acas District		Acas District
Q338523	Accademia di San Luca	Italian association of artists	Accademia di San Luca
Q8465860	Aceh Museum	Museum in Indonesia	Aceh Museum
Q2218604	Aceh Tsunami Museum		Aceh Tsunami Museum
Q2819046	ACES	airline	ACES Colombia
Q4673340	Achabal Gardens		Achabal Gardens
Q4673527	Acharya Institute of Technology	engineering and management college in Bangalore, India	Acharya Institute of Technology
Q4673688	Achila, Ubay, Bohol		Achila
Q104232	Achinsk		Achinsk
Q4655921	A Christmas Story House		A Christmas Story House
Q341505	Ackeburg		Ackeburg
Q4674272	Ackland Art Museum	museum in Chapel Hill, North Carolina	Ackland Art Museum
Q68358	Acquarossa	municipality in Switzerland	Acquarossa, Switzerland
Q421084	Acropolis Museum		Acropolis Museum
Q482192	Adam Air	domestic airline in Indonesia	Adam Air
Q4678651	Adam Art Gallery		Adam Art Gallery
Q775550	Adamawa Emirate		Adamawa Emirate
Q348394	Adam Mickiewicz Institute		Adam Mickiewicz Institute
Q3915073	Adam Mickiewicz Monument, Gorzów Wielkopolski		Adam Mickiewicz Monument, Gorzów Wielkopolski
Q4679495	Adam Mickiewicz Museum, Istanbul		Adam Mickiewicz Museum, Istanbul
Q4679497	Adam Mickiewicz Museum of Literature, Warsaw		Adam Mickiewicz Museum of Literature, Warsaw
Q348402	Adam Mickiewicz University in Poznań	university in Poland	Adam Mickiewicz University in Poznań
Q351935	Adams Memorial	artwork by Augustus Saint-Gaudens	Adams Memorial (Saint-Gaudens)
Q2824072	Adams Museum & House		Adams Museum & House
Q195019	Adana Archaeology Museum		Adana Archaeology Museum
Q4680613	Adana Ethnography Museum		Adana Ethnography Museum
Q4678102	Ad Astra	artwork by Richard Lippold	Ad Astra (Lippold sculpture)
Q4681175	Addington County, Ontario		Addington County, Ontario
Q3624	Addis Ababa	capital city of Ethiopia	Addis Ababa
Q1238770	Addis Ababa University	state university in Addis Ababa	Addis Ababa University
Q353095	Addison, Vermont		Addison, Vermont
Q353952	Adelaide	place in Eastern Cape, South Africa	Adelaide, Eastern Cape
Q3244627	Adelaide Zoo		Adelaide Zoo
Q357293	Adin	census-designated place in California	Adin, California
Q176878	Adler Microdistrict	former settlement, now microdistrict in Adlersky District of the city of Sochi	Adler Microdistrict
Q4683664	Admiral David G. Farragut	artwork by Vinnie Ream	Admiral David G. Farragut
Q4683665	Admiral Digby Museum		Admiral Digby Museum
Q4683767	Admiralty House, Mount Pearl		Admiralty House, Mount Pearl
Q360572	Adolf Fredrik Church	church building in Stockholm, Sweden	Adolf Fredrik Church
Q1847701	Adolfo Gonzales Chaves	Town in Buenos Aires Province, Argentina	Adolfo Gonzales Chaves, Buenos Aires
Q505050	Adolfo Gonzales Chaves	Partido of Buenos Aires Province in Argentina	Adolfo Gonzáles Chaves Partido
Q4685611	Adrianus Jacobus Zuyderland		Adrianus Jacobus Zuyderland
Q169442	Adventure Island	amusement park	Adventure Island (amusement park)
Q4647709	A. E. Backus Gallery & Museum		A. E. Backus Gallery & Museum
Q291123	AEG’s Turbine factory		AEG turbine factory
Q3725175	Aeneas, Anchises, and Ascanius		Aeneas, Anchises, and Ascanius
Q4688149	Aero Memorial	sculpture by Paul Manship	Aero Memorial (Manship)
Q4688159	Aero Space Museum of Calgary	aviation museum in Calgary, Alberta, Canada	Aero Space Museum of Calgary
Q1416087	Aesch Castle		Aesch Castle
Q4656688	A Faun Teased by Children		A Faun Teased by Children
Q81888	A.F.C. Ajax	Dutch football team	AFC Ajax
Q889	Afghanistan	country in Asia	Afghanistan
Q315050	Afghan Museum	private museum of culture and cultural history of Afghanistan	Afghan Museum
Q383254	Afif-Abad Garden		Afif-Abad Garden
Q1763149	Afonsos Air Force Base		Afonsos Air Force Base
Q770826	African American Museum in Philadelphia		African American Museum in Philadelphia
Q4689668	African American Museum of Iowa		African American Museum of Iowa
Q4689669	African American Museum of the Arts		African American Museum of the Arts
Q1987760	Afrikanda		Afrikanda (rural locality)
Q4690471	After B. K. S. Iyengar		After B. K. S. Iyengar (Engman)
Q4690839	Afton Station Packard Museum		Afton Station Packard Museum
Q152462	Afula	city of Israel	Afula
Q4690988	Agaie Emirate		Agaie Emirate
Q4691904	Age of Sail Heritage Centre		Age of Sail Heritage Centre
Q1739508	Ågesta Nuclear Plant	former nuclear power plant in Ågesta, Stockholm, Sweden	Ågesta Nuclear Plant
Q4692190	Aggeneys	town in the Northern Cape, South Africa	Aggeneys
Q102737	Agidel	town in Russia	Agidel
Q393898	Aginskoye, Zabaykalsky Krai		Aginskoye, Zabaykalsky Krai
Q4693853	Agricola I	artwork by David Smith	Agricola I
Q2420309	Agricultural Museum		Agricultural Museum
Q4694432	Agua Caliente Cultural Museum		Agua Caliente Cultural Museum
Q4025151	Água Santa		Água Santa, Rio de Janeiro
Q79952	Aguascalientes	state of Mexico	Aguascalientes
Q13714	Agusan del Norte	province of the Philippines	Agusan del Norte
Q401744	Ahmednagar district	district of Maharashtra, India	Ahmednagar district
Q15961666	Ahmet Hamdi Tanpınar Literature Museum Library		Ahmet Hamdi Tanpınar Literature Museum Library
Q2308237	Ahom kingdom		Ahom kingdom
Q1228416	Ahrensbök Charterhouse		Ahrensbök Charterhouse
Q572993	Ahuachapán Department		Ahuachapán Department
Q4696572	Aichi Institute of Technology	Higher education institution in Aichi Prefecture, Japan	Aichi Institute of Technology
Q4696582	Aichi Prefectural Ceramic Museum		Aichi Prefectural Ceramic Museum
Q1327757	Aiguebelle National Park		Aiguebelle National Park
Q3083	Ain	French département	Ain
Q3076109	Ain El Fouara Fountain		Ain El Fouara Fountain
Q3329035	Airborne Museum		Airborne Museum (Sainte-Mère-Église)
Q408081	Airborne Museum 'Hartenstein'		Airborne Museum 'Hartenstein'
Q663455	Aircraft Accident Investigation Bureau	Switzerland's former bureau of aircraft accident investigation	Aircraft Accident Investigation Bureau (Switzerland)
Q4697880	Air Force Armament Museum		Air Force Armament Museum
Q4697908	Air Force History and Museums Program		Air Force History and Museums Program
Q4697959	Air Force Space & Missile Museum	museum of the American space program	Air Force Space & Missile Museum
Q830543	Air Force Weapon Systems Command	command of the German Air Force	Air Force Weapon Systems Command (Germany)
Q3093	Aisne	French department	Aisne
Q410566	Aitik		Aitik
Q1365061	Aizuwakamatsu Castle		Aizuwakamatsu Castle
Q5301066	Ajaigarh State	former Indian state	Ajaigarh State
Q15961602	Ajax Experience		Ajax Experience
Q1480575	Ajlun Castle		Ajlun Castle
Q250468	Ájtte		Ájtte
Q3078407	Ajyad Fortress	Ottoman citadel	Ajyad Fortress
Q413747	Akaa	town and municipality of Finland	Akaa
Q414110	Akademie der Künste Berlin		Academy of Arts, Berlin
Q415553	Akalla metro station	metro station in northern Stockholm	Akalla metro station
Q4700347	Akashi Park Stadium		Akashi Park Stadium
Q7186971	Ak-Chin Regional Airport	general aviation airport in Pinal County near Phoenix, Arizona, USA	Phoenix Regional Airport
Q103115	Ak-Dovurak		Ak-Dovurak
Q3739940	Åker's Canal		Åker's Canal
Q502566	Akershus University College		Akershus University College
Q1544347	Åkeshov Castle		Åkeshov Castle
Q270954	Åkeshov metro station	metro station in western Stockholm	Åkeshov metro station
Q104201	Akhtubinsk		Akhtubinsk
Q341107	Akhty		Akhty
Q11595519	Akita Museum of Modern Art		Akita Museum of Modern Art
Q11595312	Akita Omoriyama Zoo		Akita Omoriyama Zoo
Q11595445	Akita Prefectural Museum		Akita Prefectural Museum
Q420869	Akron Art Museum	art museum in Akron, Ohio	Akron Art Museum
Q103176	Aksay		Aksay, Rostov Oblast
Q2378119	Aksha		Aksha, Russia
Q198989	Aktau	One of the biggest cities of western Kazakhstan	Aktau
Q1629739	Akureyri Art Museum		Akureyri Art Museum
Q173	Alabama	state of the United States of America	Alabama
Q4705289	Alabama Museum of Natural History		Alabama Museum of Natural History
Q1814493	Alabama Territory	territory of the USA between 1817-1819	Alabama Territory
Q103196	Alagir		Alagir
Q40885	Alagoas	state of Brazil	Alagoas
Q2830724	Alaiye		Alaiye
Q611831	Alameda (Lisbon Metro)	metro station in Lisbon, Portugal	Alameda (Lisbon Metro)
Q4705875	Alameda Museum	museum in Alameda, California	Alameda Museum
Q4705889	Alameda Wildlife Conservation Park		Alameda Wildlife Conservation Park
Q4702185	Al-Ameen College of Pharmacy	pharmacy college in India	Al-Ameen College of Pharmacy
Q4705940	Alamo	sculpture at Astor Place, New York City, United States	Alamo (sculpture)
Q4705985	Alamogordo Museum of History		Alamogordo Museum of History
Q2356485	Åland Museum	museum in Mariehamn, Åland, Finland	Åland Museum
Q4708602	Alaska Sports Hall of Fame		Alaska Sports Hall of Fame
Q103255	Alatyr		Alatyr, Chuvash Republic
Q323819	Albanian Orthodox Church		Orthodox Autocephalous Church of Albania
Q108408	Albany County	county in New York, United States	Albany County, New York
Q4709330	Albany Institute of History & Art		Albany Institute of History & Art
Q13726	Albay	province of the Philippines	Albay
Q2994707	Albazino		Albazino
Q2639229	Alberta Railway Museum		Alberta Railway Museum
Q2030894	Albert Einstein College of Medicine		Albert Einstein College of Medicine
Q2402570	Albert Einstein Memorial	artwork by Robert Berks	Albert Einstein Memorial
Q4710272	Albert Gallatin	artwork by James Earle Fraser	Albert Gallatin (Fraser)
Q371908	Albertina	museum of art in the Innere Stadt of Vienna, Austria	Albertina
Q699780	Albertinum		Albertinum
Q15179074	Albert Park, Alberta	village in Alberta, Canada	Albert Park, Alberta
Q2480478	Albertslund station	Copenhagen S-train station	Albertslund station
Q17485547	Albion River Inn	bed & breakfast in California	Albion River Inn
Q679009	Albrechtsburg		Albrechtsburg
Q4712823	Albuquerque Museum	art and history museum in Albuquerque, New Mexico	Albuquerque Museum
Q404369	Alburquerque	municipality in the province of Bohol, Philippines	Alburquerque, Bohol
Q1606137	Alby metro station	metro station southeast of Stockholm	Alby metro station
Q315636	Alcantara	municipality in the province of Cebu, Philippines	Alcantara, Cebu
Q593211	Alcsútdoboz		Alcsútdoboz
Q103273	Aldan		Aldan, Russia
Q4713711	Alderney Society Museum		Alderney Society Museum
Q315669	Alegria	municipality in the province of Cebu, Philippines	Alegria, Cebu
Q103439	Aleksin		Aleksin
Q1961855	Aleppo Citadel Museum		Aleppo Citadel Museum
Q1856529	Alexander Bay, Northern Cape		Alexander Bay, Northern Cape
Q4718685	Alexander Dallas Bache Monument		Alexander Dallas Bache Monument
Q4719055	Alexander Hamilton	bronze statue of Alexander Hamilton by James Earle Fraser	Alexander Hamilton (Fraser)
Q4719189	Alexander I Palace		Alexander I Palace
Q4719891	Alexander Pushkin	Bourganov statue	Alexander Pushkin (Bourganov)
Q4719958	Alexander Robey Shepherd	artwork by Ulric Stonewall Jackson Dunbar	Alexander Robey Shepherd (Dunbar)
Q2307316	Alexandra	township in Gauteng, South Africa	Alexandra, Gauteng
Q4720722	Alexandra Park Aerodrome	former airport serving Manchester, England	Alexandra Park Aerodrome (Manchester)
Q87	Alexandria	second largest city in Egypt	Alexandria
Q88	Alexandria	city in Virginia, USA	Alexandria, Virginia
Q4061238	Alexandrovka, Znamensky District, Tambov Oblast		Alexandrovka, Znamensky District, Tambov Oblast
Q103390	Alexandrovsk		Alexandrovsk, Perm Krai
Q2950062	Alexandrovskoye, Alexandrovsky District, Tomsk Oblast		Alexandrovskoye, Alexandrovsky District, Tomsk Oblast
Q4061513	Alexandrovskoye Urban Settlement		Alexandrovskoye Urban Settlement
Q103406	Alexandrovsk-Sakhalinsky	town in Sakhalin Oblast, Russia	Alexandrovsk-Sakhalinsky (town)
Q2031378	Alexandrovsky District, Tomsk Oblast		Alexandrovsky District, Tomsk Oblast
Q1523902	Alexandru Ioan Cuza University		Alexandru Ioan Cuza University
Q103427	Alexeyevka		Alexeyevka, Belgorod Oblast
Q287401	Alexeyevskoye, Republic of Tatarstan		Alexeyevskoye, Republic of Tatarstan
Q102603	Aleysk		Aleysk
Q1851610	Alfa Romeo Museum		Alfa Romeo Museum
Q4721899	Alferaki Palace		Alferaki Palace
Q4721897	Alfercam Museum		Alfercam Museum
Q233909	Alfortville	commune in Val-de-Marne, France	Alfortville
Q2017661	Alger Department	former French department in Algeria (1848-1962)	Alger (department)
Q4724450	Alhambra Theatre Glasgow		Alhambra Theatre Glasgow
Q4301643	Ålholm station	Copenhagen S-train station	Ålholm station
Q11959	Alicante	city in Valencian Community, Spain	Alicante
Q4725678	Alicante Museum of Contemporary Art		Alicante Museum of Contemporary Art
Q2003910	Alice, Eastern Cape		Alice, Eastern Cape
Q404403	Alicia	municipality in the province of Bohol, Philippines	Alicia, Bohol
Q1779340	Alikovo, Alikovsky District, Chuvash Republic		Alikovo, Alikovsky District, Chuvash Republic
Q4726842	Alipura State		Alipura (state)
Q582800	Alirajpur		Alirajpur
Q4726858	Alirajpur State		Alirajpur State
Q1010742	Aliskerovo		Aliskerovo
Q2143142	Aliwal North	town in the Eastern Cape, South Africa	Aliwal North
Q31572	Al Karak	city in Jordan	Al Karak
Q4063477	Alkatvaam		Alkatvaam
Q4580881	Ålkistan		Ålkistan
Q2331526	Allanridge	town in the Free State, South Africa	Allanridge
Q4730970	Allan Shivers Library and Museum		Allan Shivers Library and Museum
Q156257	Allegany County	county in Maryland, United States	Allegany County, Maryland
Q156291	Allegheny County	county in the southwestern part of the U.S. state of Pennsylvania	Allegheny County, Pennsylvania
Q4731597	Allen County Museum		Allen County Museum
Q815369	All England Lawn Tennis and Croquet Club	English tennis club	All England Lawn Tennis and Croquet Club
Q4731705	Allen Institute for Brain Science		Allen Institute for Brain Science
Q3816734	Allen Memorial Art Museum	museum in Oberlin, Ohio	Allen Memorial Art Museum
Q3458813	Allensworth	census-designated place in Tulare County, California	Allensworth, California
Q3612510	Allentown Art Museum	museum in Allentown, Pennsylvania	Allentown Art Museum
Q4596270	Allerød station	Copenhagen S-train station	Allerød station
Q4732277	Alliance	sculpture in the centre of Cardiff, Wales	Alliance (sculpture)
Q10748653	Alliance Atlantis	Canadian-American media company	Alliance Atlantis
Q3113	Allier	French department	Allier
Q10406517	Almagrundet	a lighthouse outside Sandhamn, Sweden	Almagrundet
Q4733571	Alma Mater		Alma Mater (Illinois sculpture)
Q4733573	Alma Mater	sculpture by Daniel Chester French	Alma Mater (New York sculpture)
Q2096920	Almazny, Sakha Republic		Almazny, Sakha Republic
Q4733752	Almedalen Week		Almedalen Week
Q254799	Älmhult Municipality	municipality in Kronoberg County, Sweden	Älmhult Municipality
Q2484332	Almirante Brown Antarctic Base		Brown Station
Q310842	Al-Mustansiriya University	university in Baghdad, Iraq	Al-Mustansiriya University
Q2971878	Alnarp Castle		Alnarp Castle
Q315687	Aloguinsan	municipality in the province of Cebu, Philippines	Aloguinsan, Cebu
Q4734192	Aloha High School		Aloha High School
Q3131	Alpes-de-Haute-Provence	French department	Alpes-de-Haute-Provence
Q3763883	Alpine Botanical Garden of Campo Imperatore		Alpine Botanical Garden of Campo Imperatore
Q1419674	Alpine Shire	local government area in Victoria, Australia	Alpine Shire
Q1513347	Al-Rawda	archaeological settlement mound in Hama, Syria	Al-Rawda
Q155144	Alsace-Lorraine	territory created by the German Empire in 1871	Alsace-Lorraine
Q1378418	Alsheyevsky District		Alsheyevsky District
Q4063257	Alshikhovo		Alshikhovo
Q835168	Alsnö hus		Alsnö hus
Q662334	Alsó-Fehér County		Alsó-Fehér County
Q309084	Alstom	French multinational conglomerate which holds interests in the power generation and transport markets	Alstom
Q1422806	Alta California	province of New Spain	Alta California
Q2712095	Altar of Domitius Ahenobarbus		Altar of Domitius Ahenobarbus
Q1010748	Altena Castle		Altena Castle
Q162111	Alte Nationalgalerie	art gallery in Berlin	Alte Nationalgalerie
Q314855	Altenburg		Altenburg (Bamberg)
Q1010752	Altenstein Castle		Altenstein Castle (Lower Franconia)
Q154568	Alte Pinakothek	art museum in Munich	Alte Pinakothek
Q4736616	Alternator Centre for Contemporary Art		Alternator Centre for Contemporary Art
Q156722	Altes Museum		Altes Museum
Q67010	Alto Malcantone	municipality in the canton of Ticino, Switzerland	Alto Malcantone
Q682642	Alto Paraguay	department of Paraguay	Alto Paraguay Department
Q2664283	Alt-Trauchburg Castle		Alt-Trauchburg Castle
Q1359686	Altuna Runestone		Altuna Runestone
Q1690706	Alvalade (Lisbon Metro)	metro station in Lisbon, Portugal	Alvalade (Lisbon Metro)
Q182007	Alvesta Municipality	municipality in Kronoberg County, Sweden	Alvesta Municipality
Q448986	Alvik metro station	metro station in western Stockholm	Alvik metro station
Q59858	Älvkarleby Municipality	municipality in Uppsala County, Sweden	Älvkarleby Municipality
Q254996	Älvsborg Bridge		Älvsborg Bridge
Q254990	Älvsborg County	county in Sweden between 1634 and 1997	Älvsborg County
Q1481707	Älvsborg fortress		Älvsborg fortress
Q4738400	Always Becoming	artwork by Nora Naranjo-Morse	Always Becoming
Q103466	Alzamay	town in Russia	Alzamay
Q800379	Alzey station	German railway station	Alzey station
Q2411458	Amagansett, New York		Amagansett, New York
Q452634	Amakusa	city in Kumamoto Prefecture, Japan	Amakusa, Kumamoto
Q4740269	Amarillo Museum of Art	art museum in Amarillo, Texas	Amarillo Museum of Art
Q2796986	Åmarken station	Copenhagen S-train station	Åmarken station
Q5736	Amarna	Egyptian archaeological site	Amarna
Q40040	Amazonas	state of Brazil	Amazonas (Brazilian state)
Q3884	Amazon.com	American company	Amazon.com
Q1311742	Ambarawa Railway Museum		Ambarawa Railway Museum
Q2629730	Ambarchik		Ambarchik
Q13406159	Ambrolauri Museum of Fine Arts		Ambrolauri Museum of Fine Arts
Q460396	Amderma		Amderma
Q461892	Amelungsburg		Amelungsburg (Süntel)
Q4743177	American Bison	sculpture in Indianapolis, Indiana	American Bison (Arnold)
Q4743426	American Clock & Watch Museum		American Clock & Watch Museum
Q464354	American Folk Art Museum	museum in New York, New York	American Folk Art Museum
Q4744084	American Independence Museum		American Independence Museum
Q4744039	American INSIGHT		American INSIGHT
Q4744216	American Jewish Museum		American Jewish Museum
Q4744335	American Legion Freedom Bell	artwork	American Legion Freedom Bell
Q4744353	American Legion Soldier	artwork by Adolph Wolter	American Legion Soldier
Q4744430	American Memorial Park		American Memorial Park
Q465746	American Museum in Britain		American Museum in Britain
Q4744474	American Museum of Fly Fishing		American Museum of Fly Fishing
Q4744475	American Museum of Magic		American Museum of Magic
Q217717	American Museum of Natural History		American Museum of Natural History
Q4744476	American Museum of Science and Energy		American Museum of Science and Energy
Q4744690	American Poetry Museum		American Poetry Museum
Q4744696	American Police Hall of Fame & Museum		American Police Hall of Fame & Museum
Q16641	American Samoa	US territory in the Pacific	American Samoa
Q4744932	American School in Japan		American School in Japan
Q14716359	American Sign Museum		American Sign Museum
Q2843037	American Swedish Historical Museum		American Swedish Historical Museum
Q4745234	American Textile History Museum		American Textile History Museum
Q4745303	American University Museum	art museum in Washington, D.C.	American University Museum
Q2843060	American Visionary Art Museum		American Visionary Art Museum
Q4742783	America On Wheels		America On Wheels
Q4742518	America's Car Museum		America's Car Museum
Q4742583	America's Response Monument		America's Response Monument
Q2553018	Amersfoort, Mpumalanga		Amersfoort, Mpumalanga
Q49854	Amersfoort railway station	A railway station in the Dutch city of Amersfoort	Amersfoort railway station
Q49866	Amersfoort Schothorst railway station	A railway station in the Dutch city of Amersfoort	Amersfoort Schothorst railway station
Q49856	Amersfoort Vathorst railway station	A railway station in the Dutch city of Amersfoort	Amersfoort Vathorst railway station
Q4745824	Amersham Museum		Amersham Museum
Q470273	Ames, Iowa	city in Iowa, United States	Ames, Iowa
Q470509	Amga		Amga (rural locality)
Q4120971	Amir Timur Museum		Amir Timur Museum
Q1010802	Amlishagen Castle		Amlishagen Castle
Q582868	Ammochostos Stadium	Nea Salamina FC's home ground	Ammochostos Stadium
Q6903237	Amnatcharoen School		Amnatcharoen School
Q451378	Am Ohmberg		Am Ohmberg
Q3067249	Amos Anderson Art Museum		Amos Anderson Art Museum
Q6572993	Amphitrite, the wave and the sea birds		Amphitrite, the wave and the sea birds
Q477318	Amprion		Amprion
Q4748686	Amritavarshini Vav	stepwell near the Panchkuva Darwaja in Ahmedabad, India	Amritavarshini Vav
Q3152900	Amsterdam, Mpumalanga		Amsterdam, Mpumalanga
Q1820897	Amsterdam Museum	museum in Amsterdam	Amsterdam Museum
Q697385	Amuran		Amuran
Q103493	Amursk		Amursk
Q1969845	Amurzet	village in Russia	Amurzet
Q943874	Amy B. H. Greenwell Ethnobotanical Garden		Amy B. H. Greenwell Ethnobotanical Garden
Q483592	Anacostia Community Museum	cultural museum in Washington, D.C.	Anacostia Community Museum
Q81650	Anadoluhisarı	fortress in Turkey	Anadoluhisarı
Q7978	Anadyr	city in northeastern Russia	Anadyr (town)
Q698395	Anadyrsky District		Anadyrsky District
Q4751084	Analy High School	high school in Sebastopol, California	Analy High School
Q15758	Anapa	town in Krasnodar Krai, Russia	Anapa
Q4752286	Anatomy Vessels	artwork by Eric Nordgulen	Anatomy Vessels (Saplings)
Q4752665	Anchor Brewery	was an English brewery located in Southwark, London	Anchor Brewery
Q1048740	Ancient Orient Museum		Ancient Orient Museum
Q404434	Anda	municipality in the province of Bohol, Philippines	Anda, Bohol
Q1190227	Andalgalá Department		Andalgalá Department
Q172894	Anderstorp Raceway	motorsport track in Sweden	Anderstorp Raceway
Q1159	Andhra Pradesh	Indian state	Andhra Pradesh
